protein,RNA line ab,binary_RNA line ab
9606.ENSP00000352904,0,0
9606.ENSP00000352925,29.1,1
9606.ENSP00000352926,51.2,1
9606.ENSP00000352927,5.5,1
9606.ENSP00000352928,7.5,1
9606.ENSP00000352936,0,0
9606.ENSP00000352941,4.5,1
9606.ENSP00000352956,98.3,1
9606.ENSP00000352962,2.3,1
9606.ENSP00000352976,68.6,1
9606.ENSP00000352995,12.7,1
9606.ENSP00000353007,27.2,1
9606.ENSP00000353010,8,1
9606.ENSP00000353013,0,0
9606.ENSP00000353025,35.1,1
9606.ENSP00000353030,57.5,1
9606.ENSP00000353032,4.7,1
9606.ENSP00000353044,0,0
9606.ENSP00000353048,0,0
9606.ENSP00000353058,0.2,1
9606.ENSP00000353072,3.1,1
9606.ENSP00000353094,77.5,1
9606.ENSP00000353098,65.1,1
9606.ENSP00000353099,0,0
9606.ENSP00000353104,25.4,1
9606.ENSP00000353114,0.3,1
9606.ENSP00000353128,2.6,1
9606.ENSP00000353129,2.2,1
9606.ENSP00000353132,2.3,1
9606.ENSP00000353142,0.3,1
9606.ENSP00000353151,1.1,1
9606.ENSP00000353165,1.4,1
9606.ENSP00000353198,0.4,1
9606.ENSP00000353203,0,0
9606.ENSP00000353210,0.1,1
9606.ENSP00000353224,243.3,1
9606.ENSP00000353238,0,0
9606.ENSP00000353245,3.8,1
9606.ENSP00000353246,45.6,1
9606.ENSP00000353249,44.8,1
9606.ENSP00000353259,0,0
9606.ENSP00000353270,66,1
9606.ENSP00000353292,0,0
9606.ENSP00000353295,48,1
9606.ENSP00000353331,2.9,1
9606.ENSP00000353332,5.5,1
9606.ENSP00000353343,0,0
9606.ENSP00000353344,28,1
9606.ENSP00000353346,0.2,1
9606.ENSP00000353362,0,0
9606.ENSP00000353375,151.4,1
9606.ENSP00000353377,0.1,1
9606.ENSP00000353379,0,0
9606.ENSP00000353393,1,1
9606.ENSP00000353401,19.4,1
9606.ENSP00000353408,228.5,1
9606.ENSP00000353414,0,0
9606.ENSP00000353422,13.7,1
9606.ENSP00000353444,51.4,1
9606.ENSP00000353452,5.2,1
9606.ENSP00000353458,68.4,1
9606.ENSP00000353462,0.1,1
9606.ENSP00000353463,43.6,1
9606.ENSP00000353470,8.9,1
9606.ENSP00000353475,0.1,1
9606.ENSP00000353491,2,1
9606.ENSP00000353496,2.6,1
9606.ENSP00000353508,23.4,1
9606.ENSP00000353512,6.6,1
9606.ENSP00000353516,3.9,1
9606.ENSP00000353518,17.4,1
9606.ENSP00000353537,0,0
9606.ENSP00000353538,16,1
9606.ENSP00000353549,56.6,1
9606.ENSP00000353557,6.3,1
9606.ENSP00000353575,65.3,1
9606.ENSP00000353582,1.5,1
9606.ENSP00000353590,108.7,1
9606.ENSP00000353600,1.4,1
9606.ENSP00000353608,0,0
9606.ENSP00000353639,0.6,1
9606.ENSP00000353646,8.4,1
9606.ENSP00000353650,0,0
9606.ENSP00000353652,0,0
9606.ENSP00000353654,0.1,1
9606.ENSP00000353670,0,0
9606.ENSP00000353701,52.1,1
9606.ENSP00000353717,4.4,1
9606.ENSP00000353720,0,0
9606.ENSP00000353731,0.4,1
9606.ENSP00000353732,0.6,1
9606.ENSP00000353734,0.8,1
9606.ENSP00000353735,24.2,1
9606.ENSP00000353739,4.7,1
9606.ENSP00000353741,218,1
9606.ENSP00000353742,0,0
9606.ENSP00000353767,1.3,1
9606.ENSP00000353769,28,1
9606.ENSP00000353770,188,1
9606.ENSP00000353785,2.9,1
9606.ENSP00000353791,11,1
9606.ENSP00000353793,72.9,1
9606.ENSP00000353794,0.6,1
9606.ENSP00000353796,0.1,1
9606.ENSP00000353820,0,0
9606.ENSP00000353824,22.3,1
9606.ENSP00000353826,92.1,1
9606.ENSP00000353850,66.3,1
9606.ENSP00000353854,37.6,1
9606.ENSP00000353863,23.2,1
9606.ENSP00000353864,9.9,1
9606.ENSP00000353868,9.3,1
9606.ENSP00000353874,0,0
9606.ENSP00000353893,0,0
9606.ENSP00000353904,31.7,1
9606.ENSP00000353910,29.9,1
9606.ENSP00000353915,0,0
9606.ENSP00000353920,7.8,1
9606.ENSP00000353942,0,0
9606.ENSP00000353988,0,0
9606.ENSP00000354001,0,0
9606.ENSP00000354003,0,0
9606.ENSP00000354006,0.2,1
9606.ENSP00000354020,0,0
9606.ENSP00000354032,5.2,1
9606.ENSP00000354040,77.4,1
9606.ENSP00000354053,0.4,1
9606.ENSP00000354061,36.4,1
9606.ENSP00000354080,0.7,1
9606.ENSP00000354085,67.4,1
9606.ENSP00000354086,168.2,1
9606.ENSP00000354090,0,0
9606.ENSP00000354109,0,0
9606.ENSP00000354111,15.9,1
9606.ENSP00000354125,287.1,1
9606.ENSP00000354152,15.8,1
9606.ENSP00000354163,3.3,1
9606.ENSP00000354201,57.1,1
9606.ENSP00000354204,0,0
9606.ENSP00000354206,10.8,1
9606.ENSP00000354207,0,0
9606.ENSP00000354213,0.5,1
9606.ENSP00000354223,47,1
9606.ENSP00000354227,7.8,1
9606.ENSP00000354238,1.3,1
9606.ENSP00000354251,84.6,1
9606.ENSP00000354255,0,0
9606.ENSP00000354280,0,0
9606.ENSP00000354294,0,0
9606.ENSP00000354305,0,0
9606.ENSP00000354335,0,0
9606.ENSP00000354340,59.1,1
9606.ENSP00000354346,257.9,1
9606.ENSP00000354360,0.3,1
9606.ENSP00000354361,70.3,1
9606.ENSP00000354376,0,0
9606.ENSP00000354377,13.2,1
9606.ENSP00000354387,3.8,1
9606.ENSP00000354394,29.8,1
9606.ENSP00000354398,8.1,1
9606.ENSP00000354414,6,1
9606.ENSP00000354415,57.7,1
9606.ENSP00000354416,0,0
9606.ENSP00000354425,6.4,1
9606.ENSP00000354432,0,0
9606.ENSP00000354451,17.5,1
9606.ENSP00000354453,2.6,1
9606.ENSP00000354458,0,0
9606.ENSP00000354461,3.3,1
9606.ENSP00000354468,85.3,1
9606.ENSP00000354476,68.7,1
9606.ENSP00000354478,7.4,1
9606.ENSP00000354481,0,0
9606.ENSP00000354483,0,0
9606.ENSP00000354487,14.9,1
9606.ENSP00000354488,0.1,1
9606.ENSP00000354490,0,0
9606.ENSP00000354497,4.7,1
9606.ENSP00000354498,6.6,1
9606.ENSP00000354499,1326.6,1
9606.ENSP00000354501,5.7,1
9606.ENSP00000354504,11.5,1
9606.ENSP00000354511,23.6,1
9606.ENSP00000354518,14.5,1
9606.ENSP00000354519,7.9,1
9606.ENSP00000354522,159.1,1
9606.ENSP00000354525,121.8,1
9606.ENSP00000354532,125.2,1
9606.ENSP00000354536,0,0
9606.ENSP00000354543,19.8,1
9606.ENSP00000354553,0.6,1
9606.ENSP00000354554,556.2,1
9606.ENSP00000354558,45.3,1
9606.ENSP00000354560,37.7,1
9606.ENSP00000354566,0,0
9606.ENSP00000354571,22.7,1
9606.ENSP00000354573,12.5,1
9606.ENSP00000354580,143.8,1
9606.ENSP00000354581,0,0
9606.ENSP00000354583,10.9,1
9606.ENSP00000354590,62.5,1
9606.ENSP00000354597,15.5,1
9606.ENSP00000354607,9,1
9606.ENSP00000354608,2.6,1
9606.ENSP00000354610,0.1,1
9606.ENSP00000354612,0.4,1
9606.ENSP00000354621,0,0
9606.ENSP00000354622,11.3,1
9606.ENSP00000354623,0.6,1
9606.ENSP00000354632,653.2,1
9606.ENSP00000354633,61.5,1
9606.ENSP00000354643,0,0
9606.ENSP00000354645,15.8,1
9606.ENSP00000354649,88.4,1
9606.ENSP00000354652,7,1
9606.ENSP00000354660,0,0
9606.ENSP00000354665,25.1,1
9606.ENSP00000354669,6.1,1
9606.ENSP00000354671,30.1,1
9606.ENSP00000354677,29,1
9606.ENSP00000354681,32.7,1
9606.ENSP00000354686,2.9,1
9606.ENSP00000354687,316.3,1
9606.ENSP00000354688,25.7,1
9606.ENSP00000354689,7.1,1
9606.ENSP00000354691,0,0
9606.ENSP00000354694,4.2,1
9606.ENSP00000354707,0.2,1
9606.ENSP00000354718,23.9,1
9606.ENSP00000354720,68.7,1
9606.ENSP00000354721,0.1,1
9606.ENSP00000354723,0,0
9606.ENSP00000354724,16.5,1
9606.ENSP00000354728,1155.8,1
9606.ENSP00000354730,41.8,1
9606.ENSP00000354733,0,0
9606.ENSP00000354739,1887.1,1
9606.ENSP00000354742,43,1
9606.ENSP00000354762,77.3,1
9606.ENSP00000354772,10.7,1
9606.ENSP00000354774,12.1,1
9606.ENSP00000354775,57,1
9606.ENSP00000354777,14.4,1
9606.ENSP00000354778,1.7,1
9606.ENSP00000354782,0,0
9606.ENSP00000354791,84.3,1
9606.ENSP00000354794,0,0
9606.ENSP00000354800,0,0
9606.ENSP00000354812,23.3,1
9606.ENSP00000354813,191.2,1
9606.ENSP00000354822,0,0
9606.ENSP00000354826,106,1
9606.ENSP00000354829,9.5,1
9606.ENSP00000354830,6.2,1
9606.ENSP00000354837,26.7,1
9606.ENSP00000354842,3.9,1
9606.ENSP00000354848,57,1
9606.ENSP00000354850,60.3,1
9606.ENSP00000354855,122.5,1
9606.ENSP00000354859,0,0
9606.ENSP00000354871,0.4,1
9606.ENSP00000354874,1.8,1
9606.ENSP00000354876,1724.1,1
9606.ENSP00000354878,18.5,1
9606.ENSP00000354884,0,0
9606.ENSP00000354886,0,0
9606.ENSP00000354888,0,0
9606.ENSP00000354891,0.1,1
9606.ENSP00000354896,0,0
9606.ENSP00000354901,0,0
9606.ENSP00000354910,0.3,1
9606.ENSP00000354911,10.9,1
9606.ENSP00000354912,5.8,1
9606.ENSP00000354916,5.6,1
9606.ENSP00000354919,0.5,1
9606.ENSP00000354920,51.3,1
9606.ENSP00000354923,10.5,1
9606.ENSP00000354927,13.4,1
9606.ENSP00000354932,0.1,1
9606.ENSP00000354947,20.4,1
9606.ENSP00000354952,21.2,1
9606.ENSP00000354957,28.9,1
9606.ENSP00000354958,12.1,1
9606.ENSP00000354960,5.6,1
9606.ENSP00000354961,496.1,1
9606.ENSP00000354964,20,1
9606.ENSP00000354972,15,1
9606.ENSP00000354982,1769.9,1
9606.ENSP00000354991,0,0
9606.ENSP00000354995,0,0
9606.ENSP00000355001,6.5,1
9606.ENSP00000355011,508.8,1
9606.ENSP00000355013,54,1
9606.ENSP00000355014,99,1
9606.ENSP00000355022,12.9,1
9606.ENSP00000355026,0.1,1
9606.ENSP00000355028,13.7,1
9606.ENSP00000355045,9.8,1
9606.ENSP00000355046,444.4,1
9606.ENSP00000355050,77.1,1
9606.ENSP00000355051,50.9,1
9606.ENSP00000355053,3.3,1
9606.ENSP00000355060,1.6,1
9606.ENSP00000355064,0.1,1
9606.ENSP00000355077,101.9,1
9606.ENSP00000355078,0.7,1
9606.ENSP00000355082,34.2,1
9606.ENSP00000355084,36.3,1
9606.ENSP00000355086,86.6,1
9606.ENSP00000355090,55.3,1
9606.ENSP00000355094,134.4,1
9606.ENSP00000355110,0,0
9606.ENSP00000355114,64.4,1
9606.ENSP00000355121,25.4,1
9606.ENSP00000355124,0.1,1
9606.ENSP00000355133,0.6,1
9606.ENSP00000355140,0,0
9606.ENSP00000355141,42.4,1
9606.ENSP00000355155,0.1,1
9606.ENSP00000355156,0,0
9606.ENSP00000355157,0,0
9606.ENSP00000355162,0.8,1
9606.ENSP00000355166,0,0
9606.ENSP00000355167,0,0
9606.ENSP00000355180,13.5,1
9606.ENSP00000355185,18.6,1
9606.ENSP00000355187,4.1,1
9606.ENSP00000355192,0,0
9606.ENSP00000355195,0.3,1
9606.ENSP00000355198,0,0
9606.ENSP00000355204,3.5,1
9606.ENSP00000355205,19.5,1
9606.ENSP00000355206,1504.4,1
9606.ENSP00000355210,24.9,1
9606.ENSP00000355217,81.1,1
9606.ENSP00000355228,1564.6,1
9606.ENSP00000355231,48.9,1
9606.ENSP00000355237,54.9,1
9606.ENSP00000355241,0,0
9606.ENSP00000355245,2.1,1
9606.ENSP00000355249,12.9,1
9606.ENSP00000355250,17.8,1
9606.ENSP00000355251,41.9,1
9606.ENSP00000355260,6.1,1
9606.ENSP00000355261,97.3,1
9606.ENSP00000355265,706.7,1
9606.ENSP00000355279,147,1
9606.ENSP00000355299,44.2,1
9606.ENSP00000355302,0,0
9606.ENSP00000355304,3.3,1
9606.ENSP00000355306,27.6,1
9606.ENSP00000355308,17.3,1
9606.ENSP00000355315,5379.6,1
9606.ENSP00000355316,0,0
9606.ENSP00000355319,23.7,1
9606.ENSP00000355325,428.4,1
9606.ENSP00000355330,0.1,1
9606.ENSP00000355340,6.5,1
9606.ENSP00000355354,0.1,1
9606.ENSP00000355361,52.2,1
9606.ENSP00000355370,2.3,1
9606.ENSP00000355374,3.2,1
9606.ENSP00000355377,0,0
9606.ENSP00000355384,8,1
9606.ENSP00000355385,15.4,1
9606.ENSP00000355387,15.6,1
9606.ENSP00000355388,44.4,1
9606.ENSP00000355396,2.6,1
9606.ENSP00000355402,0.1,1
9606.ENSP00000355421,0,0
9606.ENSP00000355428,17.9,1
9606.ENSP00000355429,0,0
9606.ENSP00000355430,0,0
9606.ENSP00000355431,0,0
9606.ENSP00000355432,0,0
9606.ENSP00000355434,0,0
9606.ENSP00000355435,0,0
9606.ENSP00000355436,0,0
9606.ENSP00000355437,18.3,1
9606.ENSP00000355441,0,0
9606.ENSP00000355443,0,0
9606.ENSP00000355459,6.3,1
9606.ENSP00000355465,40.3,1
9606.ENSP00000355467,32.4,1
9606.ENSP00000355470,12.3,1
9606.ENSP00000355471,29.3,1
9606.ENSP00000355480,8.2,1
9606.ENSP00000355492,0.1,1
9606.ENSP00000355493,45.9,1
9606.ENSP00000355499,0.6,1
9606.ENSP00000355500,23.1,1
9606.ENSP00000355506,55.5,1
9606.ENSP00000355510,0,0
9606.ENSP00000355511,20.6,1
9606.ENSP00000355512,3.4,1
9606.ENSP00000355517,0,0
9606.ENSP00000355518,151.7,1
9606.ENSP00000355523,0,0
9606.ENSP00000355533,0.3,1
9606.ENSP00000355536,18.4,1
9606.ENSP00000355541,48.7,1
9606.ENSP00000355551,8.4,1
9606.ENSP00000355559,21.3,1
9606.ENSP00000355566,147.8,1
9606.ENSP00000355568,16.2,1
9606.ENSP00000355572,48.6,1
9606.ENSP00000355577,0.1,1
9606.ENSP00000355580,8.9,1
9606.ENSP00000355583,14.4,1
9606.ENSP00000355587,3.7,1
9606.ENSP00000355589,13.8,1
9606.ENSP00000355593,0.3,1
9606.ENSP00000355599,29.3,1
9606.ENSP00000355601,26.8,1
9606.ENSP00000355605,7.9,1
9606.ENSP00000355607,40.6,1
9606.ENSP00000355609,32.7,1
9606.ENSP00000355613,0,0
9606.ENSP00000355614,12,1
9606.ENSP00000355621,8,1
9606.ENSP00000355623,23.5,1
9606.ENSP00000355627,0,0
9606.ENSP00000355629,20.1,1
9606.ENSP00000355632,39.9,1
9606.ENSP00000355637,25.8,1
9606.ENSP00000355645,0,0
9606.ENSP00000355651,15.2,1
9606.ENSP00000355652,2.9,1
9606.ENSP00000355656,2.9,1
9606.ENSP00000355657,0,0
9606.ENSP00000355658,0,0
9606.ENSP00000355672,2,1
9606.ENSP00000355675,0.2,1
9606.ENSP00000355689,45.7,1
9606.ENSP00000355718,1.4,1
9606.ENSP00000355719,0,0
9606.ENSP00000355720,5.8,1
9606.ENSP00000355731,16.3,1
9606.ENSP00000355735,4,1
9606.ENSP00000355741,6.9,1
9606.ENSP00000355747,12.1,1
9606.ENSP00000355751,2.4,1
9606.ENSP00000355752,0.3,1
9606.ENSP00000355759,411.6,1
9606.ENSP00000355760,0,0
9606.ENSP00000355777,34.6,1
9606.ENSP00000355785,0.1,1
9606.ENSP00000355797,0,0
9606.ENSP00000355799,0,0
9606.ENSP00000355800,7.5,1
9606.ENSP00000355809,102.7,1
9606.ENSP00000355812,31.4,1
9606.ENSP00000355827,24.2,1
9606.ENSP00000355837,0,0
9606.ENSP00000355840,0,0
9606.ENSP00000355865,0.1,1
9606.ENSP00000355866,2.2,1
9606.ENSP00000355870,0.5,1
9606.ENSP00000355877,28.3,1
9606.ENSP00000355880,0,0
9606.ENSP00000355889,99,1
9606.ENSP00000355890,140.9,1
9606.ENSP00000355893,0,0
9606.ENSP00000355895,8.6,1
9606.ENSP00000355896,1.2,1
9606.ENSP00000355899,13.5,1
9606.ENSP00000355900,0.2,1
9606.ENSP00000355902,11.2,1
9606.ENSP00000355904,3.3,1
9606.ENSP00000355920,0,0
9606.ENSP00000355922,89.9,1
9606.ENSP00000355923,10,1
9606.ENSP00000355924,21.3,1
9606.ENSP00000355925,2.3,1
9606.ENSP00000355927,18.3,1
9606.ENSP00000355929,17.8,1
9606.ENSP00000355930,0,0
9606.ENSP00000355938,18.2,1
9606.ENSP00000355944,35.6,1
9606.ENSP00000355955,55.1,1
9606.ENSP00000355958,62.5,1
9606.ENSP00000355961,32.2,1
9606.ENSP00000355964,33.2,1
9606.ENSP00000355966,39.9,1
9606.ENSP00000355968,11.5,1
9606.ENSP00000355969,0,0
9606.ENSP00000355979,0.2,1
9606.ENSP00000355986,0,0
9606.ENSP00000355988,0,0
9606.ENSP00000355991,0,0
9606.ENSP00000355995,0,0
9606.ENSP00000355996,0,0
9606.ENSP00000356000,0.1,1
9606.ENSP00000356001,205.1,1
9606.ENSP00000356015,174.8,1
9606.ENSP00000356016,0,0
9606.ENSP00000356024,0,0
9606.ENSP00000356030,65.2,1
9606.ENSP00000356033,0,0
9606.ENSP00000356037,0,0
9606.ENSP00000356042,172.2,1
9606.ENSP00000356047,3.1,1
9606.ENSP00000356056,134.4,1
9606.ENSP00000356057,26.1,1
9606.ENSP00000356058,0,0
9606.ENSP00000356064,4.9,1
9606.ENSP00000356065,0,0
9606.ENSP00000356070,33.8,1
9606.ENSP00000356071,9.1,1
9606.ENSP00000356076,8.6,1
9606.ENSP00000356093,0,0
9606.ENSP00000356094,0,0
9606.ENSP00000356096,20.9,1
9606.ENSP00000356102,0,0
9606.ENSP00000356104,0,0
9606.ENSP00000356105,9.5,1
9606.ENSP00000356107,32.8,1
9606.ENSP00000356110,272.6,1
9606.ENSP00000356113,1.6,1
9606.ENSP00000356115,0.9,1
9606.ENSP00000356121,0,0
9606.ENSP00000356124,8.7,1
9606.ENSP00000356125,3.2,1
9606.ENSP00000356130,7.3,1
9606.ENSP00000356133,0,0
9606.ENSP00000356134,5.6,1
9606.ENSP00000356135,7.5,1
9606.ENSP00000356143,0,0
9606.ENSP00000356150,8.5,1
9606.ENSP00000356155,7.7,1
9606.ENSP00000356156,40.2,1
9606.ENSP00000356162,0,0
9606.ENSP00000356169,19.7,1
9606.ENSP00000356172,12.6,1
9606.ENSP00000356191,0,0
9606.ENSP00000356194,2,1
9606.ENSP00000356198,0,0
9606.ENSP00000356202,21.3,1
9606.ENSP00000356205,0.7,1
9606.ENSP00000356211,53.1,1
9606.ENSP00000356213,0,0
9606.ENSP00000356214,0,0
9606.ENSP00000356218,14.9,1
9606.ENSP00000356224,1.6,1
9606.ENSP00000356230,40.5,1
9606.ENSP00000356231,6.9,1
9606.ENSP00000356234,9,1
9606.ENSP00000356236,1.1,1
9606.ENSP00000356243,154.1,1
9606.ENSP00000356247,0,0
9606.ENSP00000356251,0,0
9606.ENSP00000356256,145.3,1
9606.ENSP00000356257,0.5,1
9606.ENSP00000356263,112.7,1
9606.ENSP00000356265,22,1
9606.ENSP00000356272,29.3,1
9606.ENSP00000356275,32.7,1
9606.ENSP00000356280,1,1
9606.ENSP00000356297,26.4,1
9606.ENSP00000356301,76.5,1
9606.ENSP00000356308,17.7,1
9606.ENSP00000356310,0.3,1
9606.ENSP00000356319,21.6,1
9606.ENSP00000356320,7.6,1
9606.ENSP00000356329,0.9,1
9606.ENSP00000356331,14.9,1
9606.ENSP00000356354,123.9,1
9606.ENSP00000356355,22.7,1
9606.ENSP00000356357,6.7,1
9606.ENSP00000356363,2.2,1
9606.ENSP00000356370,0,0
9606.ENSP00000356375,4.1,1
9606.ENSP00000356379,33.6,1
9606.ENSP00000356381,34.5,1
9606.ENSP00000356382,0,0
9606.ENSP00000356385,0,0
9606.ENSP00000356386,0,0
9606.ENSP00000356389,20.1,1
9606.ENSP00000356395,0,0
9606.ENSP00000356399,0,0
9606.ENSP00000356404,0.1,1
9606.ENSP00000356405,16.8,1
9606.ENSP00000356410,17.5,1
9606.ENSP00000356416,19,1
9606.ENSP00000356425,84.1,1
9606.ENSP00000356426,42.3,1
9606.ENSP00000356429,0,0
9606.ENSP00000356430,0,0
9606.ENSP00000356432,0,0
9606.ENSP00000356433,13,1
9606.ENSP00000356436,24.6,1
9606.ENSP00000356437,7.3,1
9606.ENSP00000356438,0,0
9606.ENSP00000356444,0.3,1
9606.ENSP00000356448,51.9,1
9606.ENSP00000356465,2.4,1
9606.ENSP00000356468,29,1
9606.ENSP00000356470,3.1,1
9606.ENSP00000356475,9.5,1
9606.ENSP00000356476,25.7,1
9606.ENSP00000356480,43.7,1
9606.ENSP00000356481,2.4,1
9606.ENSP00000356489,1.3,1
9606.ENSP00000356505,0.1,1
9606.ENSP00000356515,219.4,1
9606.ENSP00000356518,0,0
9606.ENSP00000356520,342.6,1
9606.ENSP00000356529,11.9,1
9606.ENSP00000356530,3.6,1
9606.ENSP00000356536,0,0
9606.ENSP00000356540,0,0
9606.ENSP00000356541,214,1
9606.ENSP00000356545,0,0
9606.ENSP00000356548,76.3,1
9606.ENSP00000356549,3.8,1
9606.ENSP00000356560,0.3,1
9606.ENSP00000356562,22,1
9606.ENSP00000356563,14.4,1
9606.ENSP00000356567,36.2,1
9606.ENSP00000356574,17.6,1
9606.ENSP00000356575,2.3,1
9606.ENSP00000356579,16.1,1
9606.ENSP00000356581,2.6,1
9606.ENSP00000356584,34.4,1
9606.ENSP00000356587,0,0
9606.ENSP00000356590,0.1,1
9606.ENSP00000356591,88.6,1
9606.ENSP00000356599,53.7,1
9606.ENSP00000356602,81.5,1
9606.ENSP00000356607,17.2,1
9606.ENSP00000356621,10.2,1
9606.ENSP00000356630,5.6,1
9606.ENSP00000356632,90.4,1
9606.ENSP00000356634,0,0
9606.ENSP00000356646,0,0
9606.ENSP00000356652,155,1
9606.ENSP00000356658,0,0
9606.ENSP00000356669,7.5,1
9606.ENSP00000356671,0,0
9606.ENSP00000356674,3.2,1
9606.ENSP00000356687,0,0
9606.ENSP00000356694,0,0
9606.ENSP00000356696,16.3,1
9606.ENSP00000356700,0,0
9606.ENSP00000356702,24.6,1
9606.ENSP00000356705,1.5,1
9606.ENSP00000356708,0.2,1
9606.ENSP00000356713,24.1,1
9606.ENSP00000356723,0.7,1
9606.ENSP00000356729,0,0
9606.ENSP00000356733,0,0
9606.ENSP00000356737,6.4,1
9606.ENSP00000356746,4.7,1
9606.ENSP00000356771,0,0
9606.ENSP00000356774,6.3,1
9606.ENSP00000356780,0.3,1
9606.ENSP00000356782,16.6,1
9606.ENSP00000356785,15.6,1
9606.ENSP00000356790,38.1,1
9606.ENSP00000356791,0,0
9606.ENSP00000356792,0,0
9606.ENSP00000356793,0,0
9606.ENSP00000356795,0.4,1
9606.ENSP00000356807,34.5,1
9606.ENSP00000356811,121.1,1
9606.ENSP00000356814,25.8,1
9606.ENSP00000356820,17,1
9606.ENSP00000356825,0.3,1
9606.ENSP00000356828,0,0
9606.ENSP00000356832,6.8,1
9606.ENSP00000356840,8.8,1
9606.ENSP00000356842,0,0
9606.ENSP00000356846,0,0
9606.ENSP00000356848,22.3,1
9606.ENSP00000356849,37.1,1
9606.ENSP00000356853,88.6,1
9606.ENSP00000356857,0,0
9606.ENSP00000356864,36.2,1
9606.ENSP00000356886,0,0
9606.ENSP00000356899,0.3,1
9606.ENSP00000356903,44.7,1
9606.ENSP00000356905,0,0
9606.ENSP00000356906,0,0
9606.ENSP00000356908,0,0
9606.ENSP00000356912,0,0
9606.ENSP00000356917,0.6,1
9606.ENSP00000356918,25.5,1
9606.ENSP00000356919,15.1,1
9606.ENSP00000356920,26,1
9606.ENSP00000356925,0.2,1
9606.ENSP00000356936,0,0
9606.ENSP00000356940,1.4,1
9606.ENSP00000356946,0,0
9606.ENSP00000356951,0.1,1
9606.ENSP00000356953,244.3,1
9606.ENSP00000356954,4.2,1
9606.ENSP00000356959,0,0
9606.ENSP00000356967,22.6,1
9606.ENSP00000356969,1.5,1
9606.ENSP00000356972,129.1,1
9606.ENSP00000356975,0,0
9606.ENSP00000356978,9.8,1
9606.ENSP00000356981,17.6,1
9606.ENSP00000356982,89.1,1
9606.ENSP00000356985,21.2,1
9606.ENSP00000356988,15.7,1
9606.ENSP00000356989,241.6,1
9606.ENSP00000356990,0,0
9606.ENSP00000356991,0,0
9606.ENSP00000356992,0,0
9606.ENSP00000357000,35.6,1
9606.ENSP00000357005,25.3,1
9606.ENSP00000357008,0,0
9606.ENSP00000357012,0,0
9606.ENSP00000357022,0,0
9606.ENSP00000357036,0,0
9606.ENSP00000357040,17.8,1
9606.ENSP00000357047,9.9,1
9606.ENSP00000357048,92,1
9606.ENSP00000357051,34.2,1
9606.ENSP00000357052,34.6,1
9606.ENSP00000357055,71.5,1
9606.ENSP00000357057,0,0
9606.ENSP00000357060,0,0
9606.ENSP00000357065,8.2,1
9606.ENSP00000357067,0,0
9606.ENSP00000357068,0.1,1
9606.ENSP00000357069,6.9,1
9606.ENSP00000357072,0,0
9606.ENSP00000357073,1.8,1
9606.ENSP00000357076,378.1,1
9606.ENSP00000357079,0.2,1
9606.ENSP00000357080,0,0
9606.ENSP00000357086,0,0
9606.ENSP00000357087,10.8,1
9606.ENSP00000357097,0,0
9606.ENSP00000357103,0,0
9606.ENSP00000357106,0,0
9606.ENSP00000357112,0,0
9606.ENSP00000357113,2.2,1
9606.ENSP00000357122,0,0
9606.ENSP00000357123,0,0
9606.ENSP00000357125,0,0
9606.ENSP00000357126,0,0
9606.ENSP00000357127,0,0
9606.ENSP00000357129,0,0
9606.ENSP00000357131,13.4,1
9606.ENSP00000357132,0,0
9606.ENSP00000357134,0,0
9606.ENSP00000357149,0,0
9606.ENSP00000357150,0,0
9606.ENSP00000357152,0,0
9606.ENSP00000357153,0,0
9606.ENSP00000357156,0,0
9606.ENSP00000357158,0,0
9606.ENSP00000357167,0,0
9606.ENSP00000357175,12.8,1
9606.ENSP00000357177,15,1
9606.ENSP00000357178,0,0
9606.ENSP00000357189,408.9,1
9606.ENSP00000357196,10.2,1
9606.ENSP00000357199,28.9,1
9606.ENSP00000357206,63.9,1
9606.ENSP00000357218,49.4,1
9606.ENSP00000357219,0,0
9606.ENSP00000357231,0,0
9606.ENSP00000357238,3.1,1
9606.ENSP00000357255,0,0
9606.ENSP00000357256,88.1,1
9606.ENSP00000357259,10.8,1
9606.ENSP00000357268,0.9,1
9606.ENSP00000357283,31.4,1
9606.ENSP00000357288,67.7,1
9606.ENSP00000357292,51.8,1
9606.ENSP00000357297,18.1,1
9606.ENSP00000357301,0,0
9606.ENSP00000357304,40,1
9606.ENSP00000357305,32,1
9606.ENSP00000357307,4,1
9606.ENSP00000357308,78,1
9606.ENSP00000357315,15.9,1
9606.ENSP00000357320,110.3,1
9606.ENSP00000357323,61.3,1
9606.ENSP00000357336,38.3,1
9606.ENSP00000357342,0.3,1
9606.ENSP00000357345,16.8,1
9606.ENSP00000357348,0.2,1
9606.ENSP00000357360,40.6,1
9606.ENSP00000357362,0.8,1
9606.ENSP00000357384,12.7,1
9606.ENSP00000357389,16.3,1
9606.ENSP00000357392,6.6,1
9606.ENSP00000357393,18.4,1
9606.ENSP00000357402,0,0
9606.ENSP00000357409,0.1,1
9606.ENSP00000357425,1.7,1
9606.ENSP00000357429,0,0
9606.ENSP00000357440,30.1,1
9606.ENSP00000357442,35.6,1
9606.ENSP00000357448,7.3,1
9606.ENSP00000357452,65.3,1
9606.ENSP00000357453,7.6,1
9606.ENSP00000357459,111.9,1
9606.ENSP00000357461,0,0
9606.ENSP00000357465,0,0
